Area,Sex,Province,Area_Type,Year,Source,Total_Pop,Total_5to25,Higher_Ed_Rate,No_Edu_Rate,SLC_Completion_Rate,Dropout_Proxy_Rate,Currently_Attending_Rate,Never_Attended,CurrAtt_Primary,CurrAtt_LowerSec,CurrAtt_UpperSec,NotAtt_Primary,NotAtt_LowerSec,NotAtt_UpperSec,Education_Level,Attainment_Population,Education_Level_Order
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,Graduate,15711,7
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,Post_Graduate,8069,8
Chitawan,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),288487,96549,8.24,1.25,11.67,3.32,63.81,3203,33510,18607,9493,7731,8447,4907,No_Level,3600,9
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,Early_Childhood,19268,1
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,Primary,142070,2
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,Lower_Secondary,106546,3
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,Upper_Secondary,78027,4
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,SLC_SEE,63163,5
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,Intermediate,92586,6
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,Graduate,30127,7
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,Post_Graduate,13288,8
Chitawan,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),559603,182615,7.76,1.92,11.29,3.5,63.63,6400,62366,35392,18443,13626,15897,11101,No_Level,10723,9
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,Early_Childhood,3963,1
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,Primary,32719,2
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,Lower_Secondary,20937,3
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,Upper_Secondary,13316,4
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,SLC_SEE,7764,5
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,Intermediate,14002,6
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,Graduate,2850,7
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,Post_Graduate,1204,8
Dhading,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),101418,47227,4.0,3.67,7.66,3.67,64.92,1734,15579,9774,5309,3569,4173,3063,No_Level,3722,9
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,Early_Childhood,4596,1
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,Primary,40251,2
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,Lower_Secondary,24959,3
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,Upper_Secondary,15569,4
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,SLC_SEE,9353,5
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,Intermediate,12901,6
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,Graduate,2831,7
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,Post_Graduate,1778,8
Dhading,Male,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),115562,48868,3.99,2.18,8.09,2.96,63.99,1445,16358,9870,5043,4603,4385,2471,No_Level,2515,9
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,Early_Childhood,8559,1
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,Primary,72970,2
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,Lower_Secondary,45896,3
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,Upper_Secondary,28885,4
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,SLC_SEE,17117,5
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,Intermediate,26903,6
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,Graduate,5681,7
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,Post_Graduate,2982,8
Dhading,Total,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),216980,96095,3.99,2.87,7.89,3.31,64.45,3179,31937,19644,10352,8172,8558,5534,No_Level,6237,9
Dolakha,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),53677,23601,4.22,5.43,8.58,2.76,68.09,651,7889,5128,3053,1305,1873,1728,Early_Childhood,1983,1
Dolakha,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),53677,23601,4.22,5.43,8.58,2.76,68.09,651,7889,5128,3053,1305,1873,1728,Primary,16510,2
Dolakha,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),53677,23601,4.22,5.43,8.58,2.76,68.09,651,7889,5128,3053,1305,1873,1728,Lower_Secondary,10357,3
Dolakha,Female,Bagmati,District,2021,CBS Nepal NPHC 2021 (Tables 25 & 26),53677,23601,4.22,5.43,8.58,2.76,68.09,651,7889,5128,3053,1305,1873,1728,Upper_Secondary,7291,4
